nombre_invocador,kills_player_kda,deaths_player_kda,assists_player_kda,rol_1,games_per_rol_1,winrate_per_rol_1,rol_2,games_per_rol_2,winrate_per_rol_2,rol_3,games_per_rol_3,winrate_per_rol_3
R0CK Gucio,6.1,4.7,10.0,Jungler,141,61.7,Top,7.0,42.9,Mid,4.0,75.0
Thumbs Down,3.7,5.2,12.9,Support,344,57.6,Mid,6.0,33.3,Top,3.0,66.7
PinkMin v2,2.1,4.9,13.6,Support,260,57.3,Mid,9.0,11.1,Top,4.0,25.0
NÏGHTBÏRNGER,7.6,5.8,6.2,Mid,99,59.6,AD Carry,46.0,58.7,Top,1.0,0.0
school phobia,2.5,4.9,13.7,Support,285,58.2,AD Carry,24.0,54.2,Mid,1.0,0.0
Gnetîc,7.8,4.4,8.1,AD Carry,101,62.4,Support,10.0,70.0,Mid,1.0,0.0
Excel lent mid,6.9,3.6,6.0,Mid,151,60.3,AD Carry,19.0,57.9,Top,1.0,0.0
NATAQAQ,7.0,5.2,8.4,AD Carry,107,57.0,Support,46.0,54.3,Jungler,25.0,44.0
zyb,8.3,6.3,6.5,Jungler,141,56.7,Top,81.0,58.0,Mid,26.0,53.8
Nøch,6.1,5.4,9.0,Support,128,56.3,AD Carry,114.0,57.0,Jungler,51.0,51.0
jotaemez 11z,5.3,5.5,4.6,Top,625,51.7,Mid,15.0,40.0,AD Carry,7.0,71.4
Pagorex,3.6,4.1,11.6,Support,255,58.0,Mid,57.0,50.9,AD Carry,6.0,83.3
112358132134558,7.6,4.6,6.9,Jungler,241,58.1,Top,42.0,31.0,Mid,31.0,38.7
pocovirtuoso,2.3,5.5,14.3,Support,380,54.5,Mid,24.0,41.7,Top,14.0,71.4
Franek Ocean,7.5,6.0,7.7,AD Carry,267,57.3,Jungler,40.0,47.5,Top,39.0,38.5
Isles1,2.0,3.9,14.0,Support,320,55.6,Mid,2.0,50.0,AD Carry,1.0,0.0
Tarryasepin,6.1,4.4,9.0,Jungler,87,60.9,Support,18.0,77.8,Top,7.0,42.9
redcrab84,6.6,4.6,7.9,Jungler,214,56.5,Top,31.0,54.8,Mid,30.0,46.7
FA SeNBon,6.5,4.6,7.7,Mid,205,58.5,Jungler,63.0,44.4,AD Carry,27.0,70.4
슈퍼히어로6,2.3,4.4,13.2,Support,190,64.7,Jungler,4.0,25.0,AD Carry,2.0,0.0
jgWorm,7.5,6.0,8.2,Jungler,208,56.3,Support,30.0,46.7,Top,15.0,46.7
flash2468,7.1,4.9,8.1,Jungler,228,57.9,Top,44.0,56.8,Support,18.0,27.8
sibal mute all,6.6,4.8,6.0,Mid,206,61.7,Top,42.0,52.4,AD Carry,14.0,42.9
Yuros,7.4,4.2,6.9,Mid,121,59.5,AD Carry,9.0,77.8,Top,1.0,0.0
The 글로리,6.0,3.4,9.6,Jungler,154,64.9,Top,4.0,100.0,AD Carry,1.0,100.0
Breezyyy,2.3,5.1,12.0,Support,247,56.7,AD Carry,20.0,40.0,Mid,15.0,40.0
教學 dc迎神6305,7.7,4.1,7.5,Jungler,203,64.0,Mid,32.0,53.1,AD Carry,11.0,81.8
Harunohi,2.0,4.3,12.6,Support,111,61.3,AD Carry,8.0,37.5,Jungler,1.0,0.0
Dizin,7.7,3.8,7.3,Jungler,369,53.4,AD Carry,16.0,50.0,Top,11.0,27.3
eustachian,2.8,3.7,11.7,Support,184,63.6,Mid,13.0,53.8,Jungler,5.0,100.0
goth kızlar dm,6.6,4.0,5.6,Top,211,69.7,Mid,19.0,57.9,Jungler,17.0,64.7
FNC Jovi1,7.1,3.8,8.9,Jungler,128,64.1,Mid,6.0,16.7,Top,4.0,50.0
huba buba eater,6.9,6.2,6.4,AD Carry,215,67.0,Top,43.0,60.5,Support,13.0,46.2
Brother Gwang,6.7,4.8,9.5,Jungler,95,61.1,Mid,10.0,70.0,Top,1.0,100.0
DuplaNazareno,7.8,4.5,6.8,Jungler,286,54.2,Mid,31.0,67.7,Top,23.0,56.5
Lugarit,3.4,3.2,12.4,Support,160,61.9,Jungler,56.0,53.6,Top,6.0,83.3
Seba chan,8.4,6.1,6.5,AD Carry,201,63.2,Mid,7.0,28.6,Support,5.0,20.0
DK Saint,6.6,5.4,6.3,Mid,324,53.1,Jungler,135.0,56.3,AD Carry,30.0,56.7
BDS xMatty,7.5,5.0,6.4,AD Carry,368,58.7,Mid,27.0,37.0,Top,3.0,33.3
mig23c,7.2,4.1,6.1,AD Carry,193,60.6,Mid,9.0,33.3,Top,1.0,0.0
cikcik,4.8,4.9,6.1,Mid,374,53.5,Top,29.0,48.3,Support,27.0,59.3
H0NE,8.7,5.5,6.8,Jungler,309,56.3,Top,76.0,36.8,AD Carry,3.0,33.3
TitaN,8.2,6.0,8.8,AD Carry,152,62.5,Support,28.0,39.3,Jungler,4.0,50.0
Romântico,7.0,5.0,6.4,AD Carry,290,55.2,Mid,10.0,40.0,Support,10.0,40.0
badrolebadplayer,5.5,5.0,5.1,Top,236,54.7,Mid,5.0,60.0,Jungler,1.0,100.0
TakeSet sama,7.1,4.3,6.6,AD Carry,311,56.3,Mid,12.0,66.7,Top,2.0,100.0
Kobbe,7.0,4.4,7.4,AD Carry,190,56.8,Mid,29.0,55.2,Top,1.0,100.0
blueberry2,5.3,5.6,5.2,Top,236,54.7,Mid,7.0,28.6,Support,2.0,50.0
WNY Wind 队长,7.2,5.3,6.5,AD Carry,250,57.2,Top,56.0,35.7,Mid,49.0,46.9
no brain adc,8.5,5.7,7.4,AD Carry,162,63.6,Jungler,35.0,42.9,Top,15.0,53.3
gank,8.8,4.0,7.1,Jungler,117,72.6,AD Carry,26.0,73.1,Mid,4.0,50.0
NNJ ShaunMaker,7.2,3.8,6.7,Mid,129,55.8,Top,28.0,71.4,Jungler,23.0,65.2
Little Mandiocaa,5.2,5.5,10.2,Mid,164,55.5,Support,87.0,50.6,AD Carry,74.0,50.0
Hanisito,9.6,5.2,6.3,Jungler,102,59.8,Top,4.0,50.0,Mid,2.0,50.0
big dacko,6.2,5.5,8.2,AD Carry,256,53.1,Support,43.0,55.8,Mid,1.0,0.0
전설의 방귀,6.8,4.3,5.9,AD Carry,471,54.6,Support,35.0,34.3,Mid,11.0,45.5
DCN,9.7,6.4,5.4,Jungler,198,59.1,Mid,11.0,54.5,Top,3.0,66.7
Competition9,6.8,3.6,5.4,Mid,214,53.7,AD Carry,33.0,60.6,Top,5.0,40.0
RhiIech,7.8,5.6,8.0,Jungler,409,55.5,Support,34.0,50.0,Top,29.0,34.5
MANATY RANK 1,6.2,4.4,8.4,Jungler,251,51.0,Support,51.0,56.9,Top,21.0,66.7
KeyNG,8.1,6.1,7.8,Jungler,115,66.1,Top,11.0,45.5,AD Carry,5.0,80.0
