nombre_invocador,elyoyaaaaaaaaaaa,Razørk Activoo,잘가요 굿바이,blaberfish2,I Love Uber Eats,Maxlore,Boukada,bluerzor,total
oerwoud,0.0003659075506378034,0.0010988554088597268,0.0001487931675908497,0.0015603657836462776,0.001831411207894322,0.0013496906329239866,0.0003161937935326404,0.0003525421652548981,0.007023759710340504
Curling Captain,0.00043943277426112523,0.0021462973340884944,0.0001450757480780708,0.0010228061903964074,0.0011993748137892704,0.0012243382270447512,0.00039239777059659956,0.0004266345578137755,0.006996357416068494
Gragolandia,0.00040412961225832095,0.002505217665453321,0.0001416167472089007,0.001005624578545017,0.0011498041389932164,0.0009574383477110808,0.00042955899288284774,0.0003938206447028773,0.006987210727755582
FA Vinite,0.0003713533186263269,0.000945177213375205,0.0001429981202182716,0.001092481088508485,0.0018372592734582094,0.001917101773719817,0.00030384138849459306,0.00036009306446124734,0.006970305240862155
PB Lord Semi,0.00034754098183385757,0.0009249375154259294,0.00014136477042684233,0.0011213637672382202,0.0021057963853068776,0.0016858626195175638,0.00030296780155037736,0.0003372222024184305,0.006967056043718099
Big Genos,0.00040170789395554745,0.0014869507345308495,0.00014509046233760926,0.0013008440662090948,0.0015613985218798103,0.0012952224401809147,0.00035142361636854004,0.0003894590935369901,0.006932096828999357
hwa i tings,0.0003359474585043065,0.0008439285913782464,0.000142789479741715,0.0011724411403495414,0.0023232955618379646,0.001486568597210534,0.0002960787949233107,0.0003241790127642993,0.006925228636709919
갱스기무라,0.00036378640151435947,0.0011035313633693633,0.00014620598808366263,0.0014540071971379694,0.0018091420472463573,0.0013190376905248147,0.000315162563551331,0.00035208133807671096,0.006862954589504569
no more slacking,0.0004341166348990771,0.0007527903091057686,0.00014778415262926806,0.0006834781936363688,0.0009333593459848954,0.003190871085841191,0.0002956236337828149,0.00041583583866744114,0.006853859194546825
주사는 무서워,0.0004330849363784935,0.0011570976793939323,0.00014632435753067082,0.0009684556871991974,0.00131163157868191,0.0020679138314520897,0.0003322208531833824,0.0004178489526687044,0.00683457787648838
Astrax00,0.00042452201418143493,0.0007809865082806361,0.00014639252247647397,0.000709922363351137,0.0009853694324667732,0.0030446951993621896,0.00029719690253524907,0.0004086942221313339,0.0067977791647852275
readysetgo1,0.00040156164683569366,0.0014054436506991915,0.0001451432648015504,0.0012760953130844022,0.0014982460227845036,0.0012861054878923746,0.0003457622736493431,0.00038947995209814287,0.0067478376118452026
Music101,0.00035534112322566043,0.0009768007167502836,0.0001454290447571343,0.00151435589899085,0.0018954031185287757,0.0011954768052610154,0.0003110404956745766,0.00034325426961833593,0.006737101472806632
jgWorm,0.0004212378742756536,0.0014185919818892586,0.00014865329577719882,0.0011511033257130341,0.0013388106417447589,0.001496260153051561,0.00034205955086476166,0.00040734378884997775,0.0067240606121662045
Badlulu fan,0.0004027894564751713,0.0011713097776153627,0.00014781881729707586,0.0011905151705074518,0.0014791065954613593,0.0016103047243207153,0.00032443670037941673,0.00038911600000170546,0.0067153972420582585
kanaaa,0.00040409888170821564,0.0010168396636502203,0.0001459995197550637,0.0010166130323429595,0.0014147298526067,0.0020034490275487346,0.000313513341333051,0.0003911819003112246,0.006706425219256169
BT1 Levi,0.0004116262418174366,0.0027230855583049635,0.0001425262198357251,0.0009240869662087307,0.0008689959842317057,0.0007238249330143244,0.000492870398486983,0.00040305347504181676,0.006690069776941685
Gutizin do corta,0.0020061575981153196,0.0004209915258623756,0.00015841343734979287,0.0003388576288955129,0.0003439213473120871,0.0004071834923805473,0.00034896394273377314,0.002587936456308649,0.006612425428958058
Canon,0.0004025841257868186,0.0008814545672697168,0.00014519510758669005,0.0008895332585054513,0.0012975978252700864,0.0022902062610945227,0.00030102566856133955,0.0003883846465769711,0.006595981460651597
APOJHE,0.00034206604251850415,0.0009143010111527521,0.00014058089227902626,0.0013471848826040577,0.002041327425340004,0.0011701328230189496,0.0003023772238284455,0.00033266991902403185,0.006590640219765772
KANG HYUNJUN,0.0003684534805025175,0.0009059023710945567,0.00014332602424918723,0.001067388432849485,0.0017017423811651843,0.0017468686788562977,0.00030017567208380107,0.00035633699041759246,0.006590194031218622
JUGKlNG1,0.0003893695674932203,0.0008861976520616368,0.00014496718266148262,0.0009512806748148085,0.001407205250900285,0.002135046928812819,0.00030021600845034943,0.0003757538170698171,0.006590037082264418
KIREAS1,0.00045684819435559026,0.0010077281305779116,0.00014892273036701744,0.0008518469543028486,0.0010945222911678868,0.0022482769512839882,0.0003240833990627491,0.00043911716340414,0.006571345814522132
IW Elramir,0.0004250352404694358,0.0009252068186699323,0.00014832714340619232,0.0008657897030257784,0.0011365367997793424,0.002338398440856828,0.00030916441367049533,0.0004106395115134334,0.006559098071391437
