nombre_invocador,region,liga,lps,ranking_mundial,winrate_total,kills_player_kda,deaths_player_kda,assists_player_kda,score
Katten,LAS,Challenger,762,1256,52.5,6.2,4.1,8.2,0.0043939903757868
Adequate,RU,Challenger,715,1450,54.3,5.9,4.8,9.6,0.0043899480136333
Qiiqiii,PH,Challenger,707,1496,57.5,8.2,5.4,8.1,0.0043826133101213
Sword Skill,LAN,Challenger,655,1706,52.5,7.9,5.0,5.9,0.0043824679868004
聖 經,TW,Challenger,651,1736,56.6,5.9,4.5,9.0,0.0043725590350842
Jayder,LAN,Challenger,659,1691,56.3,7.8,5.1,7.6,0.0043475154512644
ProsiA,VN,Challenger,570,2192,57.8,6.0,4.7,9.5,0.0043337448716998
NewtonNephimPuco,BR,GrandMaster,686,3268,61.5,7.4,4.3,9.1,0.0043333939009223
STP ME PARLE PAS,EUW,Challenger,835,992,61.8,7.3,4.4,8.7,0.0043258773996186
Hachi,LAS,Challenger,698,1535,54.2,6.9,5.1,5.9,0.0043167371768609
iLikeThickThighs,EUNE,Challenger,637,1811,54.2,6.9,4.3,7.8,0.004295523119961
게임하고 싶어04,KR,Challenger,676,1607,56.9,5.6,3.4,8.2,0.0042858989198043
BIG Rulfchen,EUW,GrandMaster,817,2763,56.2,6.6,5.4,9.3,0.0042821992948335
clones i gibones,EUNE,Challenger,591,2101,53.4,6.1,5.6,8.6,0.0042791397607353
C Crits,EUW,GrandMaster,670,3356,56.0,6.8,4.4,7.3,0.0042759152015575
void rüsh,LAS,Challenger,561,2234,52.4,6.8,6.2,8.7,0.0042758538153975
니가 깨기 전에,KR,Challenger,828,1013,57.5,6.3,4.0,7.8,0.0042737172483162
KeyNG,BR,Challenger,1063,301,64.0,8.1,6.1,7.8,0.0042724824554922
The Devil Withiñ,EUNE,Challenger,681,1592,61.5,8.3,3.9,6.2,0.0042700326171891
void rüsh,LAS,Challenger,561,2234,52.4,6.8,6.2,8.7,0.004265274445491
IllllIIIlllIIl,KR,Challenger,661,1682,53.8,5.5,4.8,7.6,0.0042365220550736
talon2,VN,Challenger,644,1767,56.6,5.6,5.1,9.1,0.0042074341188857
senzawa,JP,Challenger,668,1646,50.9,7.7,5.7,7.9,0.0042038927938624
恩於南歌0o,TW,Challenger,674,1619,58.6,6.0,4.7,7.7,0.0042003443878825
eIo terrorıst,LAN,Challenger,666,1662,52.1,6.0,4.7,9.4,0.0041967672985413
DilysQuang,VN,Challenger,519,2450,56.4,7.1,5.7,7.7,0.004195114397409
kitasanb,KR,Challenger,598,2056,54.0,6.5,4.2,7.8,0.0041804699964759
Ankhsëräm,LAN,Challenger,626,1881,57.0,6.4,3.7,7.1,0.0041704612458218
MΟGLIS,EUNE,Challenger,595,2076,55.0,8.6,6.5,9.0,0.0041572927288921
FromScz,LAS,Challenger,567,2210,54.9,6.6,5.3,8.2,0.0041490930613954
zacocaca ívar,LAS,Challenger,667,1653,53.3,7.1,5.4,9.7,0.0041483617154444
푸키키키키키,KR,Challenger,848,940,70.7,8.0,4.2,8.8,0.0041366113222112
RozmariLEG,RU,Challenger,654,1716,61.7,8.5,5.1,9.1,0.0041253149424126
溫言莞爾º,TW,Challenger,562,2230,58.5,7.6,5.7,9.3,0.0041243914574987
dantes enjoyer,EUNE,Challenger,617,1938,54.3,6.1,5.7,8.8,0.0041222475330138
eYa Cedeiix,EUW,GrandMaster,658,3426,59.4,7.2,5.5,8.7,0.004118854579111
Mauro Dinosauro,EUW,GrandMaster,856,2688,61.0,5.9,3.9,8.9,0.0041083547788878
112358132134558,PH,Challenger,826,1015,51.5,7.6,4.6,6.9,0.0040961736383707
juny gap,BR,GrandMaster,724,3053,56.8,7.9,3.4,7.9,0.0040906176346519
Neo ZeTHRIV,TR,Challenger,666,1664,62.7,9.8,6.7,8.1,0.0040901779487496
츄개잘해서미안해,KR,Challenger,657,1698,54.1,6.8,5.1,7.8,0.004088770755207
神奇的丸小丸,TW,Challenger,605,2002,55.3,6.7,4.9,7.3,0.0040783252464126
º X º,LAS,Challenger,654,1721,57.4,6.4,4.7,7.8,0.0040657659434881
bialy mbappé,EUNE,Challenger,630,1849,54.8,6.0,6.3,9.0,0.0040605698186568
yukino cat,EUW,GrandMaster,670,3355,51.8,7.3,6.0,8.6,0.0040538521259416
Naethancolch,RU,Challenger,647,1754,51.8,5.4,4.3,7.0,0.0040534205569892
Gwangdae,PH,Challenger,633,1836,56.1,8.1,4.8,8.0,0.0040459821193804
felisa,KR,Challenger,742,1353,64.3,7.9,4.0,8.1,0.0040381880130824
玩不了那就点,JP,Challenger,654,1721,54.5,8.0,5.5,6.8,0.0040313938259188
Brother Gwang,EUW,Challenger,944,587,63.1,6.7,4.8,9.5,0.0040255520580446
UANL Gio,LAN,Challenger,639,1810,58.7,5.2,3.5,9.3,0.0040205636067165
Saabaa,LAN,Challenger,648,1749,66.0,6.8,5.0,10.7,0.0040142704174498
Paradizzo,LAN,Challenger,640,1806,58.6,6.6,5.6,10.2,0.003998159378581
Ụt Ụt,VN,Challenger,618,1925,54.8,7.3,5.4,8.4,0.0039780942534688
愛と誠,JP,Challenger,631,1845,51.5,7.3,6.1,7.8,0.0039738259621744
等等吃鹹水雞,TW,Challenger,588,2110,59.4,6.8,3.6,8.4,0.0039673800533928
Maasta,LAS,Challenger,641,1790,50.9,7.2,4.5,6.9,0.0039669127547473
Krysia,EUW,GrandMaster,795,2824,53.5,6.6,4.9,8.5,0.0039668054015183
kenvi9,EUW,Challenger,824,1022,69.6,8.2,3.6,7.6,0.003964056573178
Fear,TH,Challenger,661,1681,59.4,10.3,4.0,6.6,0.0039594830993004
Microvolts TCL,LAN,Challenger,642,1786,66.4,6.3,4.7,8.3,0.0039548802286192
Ferrettt,EUW,GrandMaster,698,3205,52.6,6.9,5.5,7.9,0.0039470908566253
No one for u,LAN,Challenger,623,1909,52.4,6.5,5.8,8.8,0.0039305435573137
yбей мeня,RU,Challenger,629,1862,57.0,8.7,5.0,7.1,0.003924246099231
Zuao Unbroken,BR,GrandMaster,864,2670,54.0,6.0,4.8,9.1,0.0039216472396657
Jãger,SG,Challenger,635,1822,62.0,8.3,6.1,6.4,0.0039216463045121
Kaneki,JP,Challenger,598,2062,58.4,7.3,4.4,7.1,0.0039146183196994
fmr,PH,Challenger,537,2341,57.3,7.8,4.8,8.2,0.0039053336194529
T i c k k y,VN,Challenger,508,2537,55.0,5.5,4.6,8.5,0.0039023710076476
VK TacoImport,BR,GrandMaster,767,2894,70.2,10.6,4.9,7.6,0.0038815235447992
