nombre_invocador,region,liga,lps,ranking_mundial,winrate_total,kills_player_kda,deaths_player_kda,assists_player_kda,score
GB2 BufonRi,LAN,Challenger,755,1296,56.2,6.2,5.4,8.3,0.003911336157095
ชาซอน,TH,Challenger,812,1071,59.3,7.3,4.9,6.6,0.0038913127267709
모하숑,KR,Challenger,803,1101,60.6,7.0,4.6,7.0,0.0038606602005084
Just stay apart,EUW,Challenger,767,1231,55.8,6.6,4.6,7.5,0.0038474126591576
China Ping,VN,Challenger,667,1654,34.1,4.4,4.4,5.3,0.0038332925200209
Whymesodiao,KR,Challenger,710,1481,65.9,7.8,5.6,7.5,0.003823881130708
AEZAKMI 1337,EUNE,Challenger,729,1395,53.7,6.2,4.1,8.4,0.0038211132987417
h1a2d3e4s5,VN,Challenger,653,1724,58.0,8.0,5.6,6.2,0.0038118058585583
mauricio39,BR,Challenger,954,560,53.1,7.8,6.5,7.8,0.0037832709386227
문영화,KR,Challenger,644,1772,58.6,6.1,5.0,7.3,0.0037744437555236
Autumn Tree,EUW,Challenger,824,1021,64.3,8.6,5.9,6.6,0.003771263926563
ME VERY POSITIVE,RU,Challenger,658,1693,62.9,7.2,4.7,6.1,0.0037415881736003
Plain Jane,RU,Challenger,651,1734,55.9,7.5,4.8,7.1,0.003730393983913
中国,EUW,Challenger,745,1344,56.4,7.1,5.6,7.0,0.0037229998539076
Raviool,LAS,Challenger,633,1830,51.1,6.9,5.6,6.2,0.0037229245506391
Soonchang,EUW,Challenger,758,1277,52.0,7.5,4.8,7.0,0.0037073494523282
lckeria,KR,Challenger,702,1524,59.7,7.3,4.3,7.4,0.0036938960318959
After Rain,RU,Challenger,645,1764,55.2,6.4,6.0,8.7,0.003680660807766
fazetwistzz,KR,Challenger,653,1728,57.6,5.5,4.2,6.7,0.0036498884300469
Unique,LAN,Challenger,640,1795,59.2,7.0,6.6,8.1,0.0036433995135137
TTV bparamount,LAN,Challenger,630,1855,56.5,6.8,5.1,8.8,0.0036409972104325
Alex1thymia,EUNE,Challenger,751,1314,56.8,6.9,5.7,7.1,0.003637010561504
trzrq,LAS,Challenger,632,1838,53.7,6.4,5.1,5.9,0.0035929494776454
XL ADBRO,EUW,Challenger,1098,262,57.5,7.0,5.7,7.8,0.0035833260686167
tired of you,PH,Challenger,635,1826,60.0,9.5,5.4,7.1,0.0035479309864851
Formuler,TW,Challenger,619,1922,50.4,6.3,3.2,5.8,0.0035296878353188
