nombre_invocador,champ_1,regional_rank_1,kills_champ_1,deaths_champ_1,assists_champ_1,winrate_champ_1,champ_2,regional_rank_2,kills_champ_2,deaths_champ_2,assists_champ_2,winrate_champ_2,champ_3,regional_rank_3,kills_champ_3,deaths_champ_3,assists_champ_3,winrate_champ_3,score
불주먹 이준민,Orianna,437,4.4,3.3,8.9,73.7,Yone,143,4.8,3.3,4.6,63.2,Lee Sin,1029,6.7,4.6,5.6,62.5,0.0024008578957729
불주먹 이준민,Orianna,439,4.4,3.3,8.9,73.7,Yone,141,4.8,3.3,4.6,63.2,Lee Sin,1029,6.7,4.6,5.6,62.5,0.0024008578957729
불주먹 이준민,Orianna,437,4.4,3.3,8.9,73.7,Yone,143,4.8,3.3,4.6,63.2,Lee Sin,1029,6.7,4.6,5.6,62.5,0.0023972351936803
불주먹 이준민,Orianna,439,4.4,3.3,8.9,73.7,Yone,141,4.8,3.3,4.6,63.2,Lee Sin,1029,6.7,4.6,5.6,62.5,0.0023972351936803
Spirit Mage,Jayce,638,5.6,4.0,5.9,85.7,Ryze,164,4.1,3.4,6.1,57.1,Akali,2444,7.6,4.4,5.8,35.7,0.0023952085399326
Spirit Mage,Jayce,637,5.6,4.0,5.9,85.7,Ryze,160,4.1,3.4,6.1,57.1,Akali,2427,7.6,4.4,5.8,35.7,0.0023952085399326
Spirit Mage,Jayce,637,5.6,4.0,5.9,85.7,Ryze,160,4.1,3.4,6.1,57.1,Akali,2427,7.6,4.4,5.8,35.7,0.002377644027346
Spirit Mage,Jayce,638,5.6,4.0,5.9,85.7,Ryze,164,4.1,3.4,6.1,57.1,Akali,2444,7.6,4.4,5.8,35.7,0.002377644027346
Detention,Zoe,595,7.8,5.1,7.7,64.0,Ahri,2,5.9,4.6,7.4,38.9,Caitlyn,1369,4.4,4.5,5.0,53.8,0.0023590320276834
Detention,Zoe,599,7.8,5.1,7.7,64.0,Ahri,2,5.9,4.6,7.4,38.9,Caitlyn,1359,4.4,4.5,5.0,53.8,0.0023590320276834
Detention,Zoe,595,7.8,5.1,7.7,64.0,Ahri,2,5.9,4.6,7.4,38.9,Caitlyn,1369,4.4,4.5,5.0,53.8,0.0023524472545937
Detention,Zoe,599,7.8,5.1,7.7,64.0,Ahri,2,5.9,4.6,7.4,38.9,Caitlyn,1359,4.4,4.5,5.0,53.8,0.0023524472545937
이렐아칼리,Irelia,425,4.0,9.0,1.0,54.2,Yasuo,61,3.0,8.0,2.0,45.5,Akali,2783,5.0,6.0,2.0,58.3,0.0023388894374145
이렐아칼리,Irelia,428,4.0,9.0,1.0,54.2,Yasuo,61,3.0,8.0,2.0,45.5,Akali,2780,5.0,6.0,2.0,58.3,0.0023388894374145
이렐아칼리,Irelia,428,4.0,9.0,1.0,54.2,Yasuo,61,3.0,8.0,2.0,45.5,Akali,2780,5.0,6.0,2.0,58.3,0.0023380727401635
이렐아칼리,Irelia,425,4.0,9.0,1.0,54.2,Yasuo,61,3.0,8.0,2.0,45.5,Akali,2783,5.0,6.0,2.0,58.3,0.0023380727401635
DK Pullbae,Yasuo,27,4.7,5.7,4.8,40.0,Sylas,2765,6.0,5.1,5.3,61.9,LeBlanc,2811,4.8,4.2,6.1,61.1,0.0023358235343538
Jï Soo,Yasuo,22,7.3,4.5,5.0,68.8,Yone,3591,6.7,4.4,5.4,67.7,Sylas,55,6.7,4.8,4.4,55.6,0.0023219082510234
CGA Rektay,Ekko,638,7.8,6.0,5.8,54.4,Syndra,55,4.3,6.9,6.2,35.0,Vex,4125,9.1,7.0,8.4,76.5,0.0023001483900718
Aorin,Twisted Fate,253,3.9,3.7,8.8,61.7,Kassadin,3682,6.1,3.7,4.6,48.5,Lulu,4,2.0,2.9,13.9,66.7,0.0022945050694677
RRubyLOL,Syndra,79,6.6,3.8,5.9,65.2,Jayce,647,5.3,5.1,6.2,65.0,Ezreal,761,5.7,5.9,5.4,50.0,0.0022906150163849
Snonky,Anivia,830,6.0,0.0,6.0,55.1,Fiddlesticks,37,4.9,3.0,6.3,40.8,Viktor,164,4.4,5.1,7.8,37.5,0.0022556643192343
Xeronic,Akali,881,8.1,4.9,4.5,56.1,Sylas,3589,8.2,5.2,6.6,59.5,Tristana,142,7.8,5.1,5.5,50.0,0.0022416002041797
random gap,K'Sante,85,5.3,3.6,7.0,59.2,Akshan,3745,8.9,5.1,5.2,55.2,Tristana,7,6.7,4.4,4.1,45.5,0.002229642314971
ªTheEvolutionª,Akshan,283,6.5,4.4,5.0,50.7,Aurelion Sol,3516,6.1,2.8,8.7,55.6,K'Sante,22,3.3,4.0,6.3,46.2,0.0022164276289918
ªTheEvolutionª,Akshan,258,6.5,4.4,5.0,51.4,Aurelion Sol,3488,6.1,2.9,8.6,54.3,K'Sante,20,3.3,4.0,6.3,46.2,0.0022164276289918
ªTheEvolutionª,Akshan,258,6.5,4.4,5.0,51.4,Aurelion Sol,3488,6.1,2.9,8.6,54.3,K'Sante,20,3.3,4.0,6.3,46.2,0.0022040285431263
ªTheEvolutionª,Akshan,283,6.5,4.4,5.0,50.7,Aurelion Sol,3516,6.1,2.8,8.7,55.6,K'Sante,22,3.3,4.0,6.3,46.2,0.0022040285431263
