,nombre_invocador,region,liga,lps,ranking_mundial,winrate_total,kills_player_kda,deaths_player_kda,assists_player_kda,score,Hide on bush,pleroma chronou,Wesley Warren Jr,GOOD GAME GG EZ,Jænsen,dajor25,Percy Magic,M1dLaoBan,Disabled Chattt,boiat nastana
1308,TTV chenchen53,EUW,GrandMaster,626,3673,52.0,4.9,4.8,6.8,0.0037545497434694,0.0004698331619725,0.0006068935266932,0.0002939800013391,0.0002199015647834,0.0007136126505884,0.000414459867585,0.0002620455802572,0.0002851653703542,0.0001481964344935,0.0002683493259586
1309,TTV chenchen53,EUW,GrandMaster,626,3673,52.0,4.9,4.8,6.8,0.0036824374840256,0.0004750862310213,0.0006033436205141,0.0002974027773252,0.0002214511435555,0.0007656986732098,0.0004196968224913,0.0002647531318942,0.0002883639516035,0.000147505935257,0.0002712474565969
1310,TTV chenchen53,EUW,GrandMaster,626,3673,52.0,4.9,4.8,6.8,0.0036824374840256,0.0004698331619725,0.0006068935266932,0.0002939800013391,0.0002199015647834,0.0007136126505884,0.000414459867585,0.0002620455802572,0.0002851653703542,0.0001481964344935,0.0002683493259586
1311,cdrc,EUW,GrandMaster,603,3907,56.6,5.9,5.1,6.6,0.0037496761639163,0.0005605192635979,0.000679027318493,0.000275253405296,0.0002186943756259,0.000666609758942,0.0004232305121133,0.0002483165926924,0.0002697688604893,0.0001534899920368,0.0002547660846294
1312,Quicksie,EUW,GrandMaster,607,3855,52.9,5.3,5.0,6.8,0.0037495994156685,0.0005409479512329,0.0006396835274489,0.0002822493213698,0.0002201219653737,0.0007014130521257,0.0004245897340861,0.0002536816232807,0.0002753880039258,0.0001515226637973,0.0002600015730271
1313,DK 에이스,KR,GrandMaster,625,3687,53.6,4.8,4.3,5.8,0.0037432394202445,0.0004616327097428,0.0005538574481902,0.0003005028485493,0.0002210671333141,0.0008159727497596,0.0004132128617923,0.0002671677793639,0.000290528021781,0.0001458277042909,0.0002734701634599
1314,akam1,BR,GrandMaster,745,2955,52.9,5.1,3.9,6.7,0.0037424667152979,0.0003761850912697,0.0005819436855715,0.0003018740249068,0.0002708191134189,0.0004605921385295,0.0007236162151688,0.0002958110852686,0.000316041428958,0.0001290345084519,0.0002865494237537
1315,Rądar,EUW,GrandMaster,583,4122,53.6,4.5,4.4,8.6,0.0037228719212596,0.000593811007566,0.0006921103462108,0.0002632014460213,0.0002127936639557,0.0006169665184089,0.0004437489079741,0.0002405601113374,0.0002581255169827,0.000157122528387,0.0002444318744153
1316,superjackpot,OCE,GrandMaster,615,3789,54.5,6.4,5.2,6.2,0.0037212588900226,0.0004771219397811,0.0005660704594388,0.0002900280326894,0.0002190280691146,0.0008000928186742,0.0004128319124951,0.0002597664373531,0.0002824555377329,0.000147279345438,0.0002665843373048
1317,Terold,EUW,GrandMaster,844,2707,58.1,6.6,5.3,6.4,0.0037179908035221,0.0004590866077931,0.0004545317228672,0.0003085003961565,0.0003672917743712,0.0005166202630464,0.000564748470367,0.0002950288360634,0.0003179231514154,0.0001252827626223,0.0003089768188191
1318,rediri,EUW,Challenger,897,776,54.8,6.2,4.7,6.2,0.0037163290732459,0.0002335201528644,0.0002414198512903,0.000302840627996,0.0012144531653744,0.000281639100944,0.0003612569905776,0.0003304175306906,0.0003191033843594,9.870345121996052e-05,0.0003329748179289
1319,HOWCANWlN,EUW,Challenger,867,872,53.2,6.4,4.2,6.2,0.0037150010684035,0.0002457631414637,0.0002877548556627,0.0003645823749618,0.0007686021854298,0.0003236772775385,0.0004057662602492,0.0003990324723753,0.0004237012651652,0.0001015343216136,0.0003945869139432
1320,whatisfreedom,KR,GrandMaster,584,4099,53.4,5.8,4.4,6.4,0.0037030401656467,0.0006072171827905,0.0006832055326518,0.0002642080633514,0.0002139262427765,0.0006181789712588,0.0004138061622588,0.0002397571535386,0.0002604262358197,0.0001568076244325,0.0002455069967677
1321,whatisfreedom,KR,GrandMaster,584,4099,53.4,5.8,4.4,6.4,0.0037030401656467,0.0006072085580224,0.0006830895628971,0.0002642151200538,0.0002139304486972,0.0006182649134119,0.0004138115143807,0.00023976350196,0.0002604332588092,0.0001568024206289,0.0002455137538152
1322,whatisfreedom,KR,GrandMaster,584,4099,53.4,5.8,4.4,6.4,0.0037030330526768,0.0006072171827905,0.0006832055326518,0.0002642080633514,0.0002139262427765,0.0006181789712588,0.0004138061622588,0.0002397571535386,0.0002604262358197,0.0001568076244325,0.0002455069967677
1323,whatisfreedom,KR,GrandMaster,584,4099,53.4,5.8,4.4,6.4,0.0037030330526768,0.0006072085580224,0.0006830895628971,0.0002642151200538,0.0002139304486972,0.0006182649134119,0.0004138115143807,0.00023976350196,0.0002604332588092,0.0001568024206289,0.0002455137538152
1324,Lynter,BR,GrandMaster,574,4215,50.1,7.4,5.2,7.7,0.003701340307351,0.0006967474024842,0.0006719359999457,0.0002542965652826,0.0002138789869496,0.0005640056514624,0.0004198941432726,0.0002325205129659,0.0002505077113705,0.0001596792437509,0.0002378740898661
1325,NS Calix,KR,GrandMaster,598,3958,52.3,5.2,4.9,5.9,0.0037008186785109,0.0005532795546031,0.0006274300085942,0.0002688394348652,0.000223638053221,0.0005551933630113,0.000557041998684,0.0002514037875193,0.0002634685365767,0.0001505425032407,0.0002499814381948
1326,your turn to die,EUW,GrandMaster,535,4624,55.6,4.6,4.8,5.8,0.0036992141891092,0.0010039810072898,0.0006246737661954,0.0002237353952301,0.0002049970549611,0.0004386152576791,0.0003896061565838,0.0002078889479467,0.0002220208719361,0.0001703611491048,0.0002133345821817
1327,TDSP D1verse,EUW,GrandMaster,601,3934,52.8,5.5,5.6,6.3,0.0036967739799806,0.0005548959408899,0.0005879035996867,0.0002474514647274,0.0002338470736786,0.000426746975864,0.0007758441096594,0.0002400936367954,0.0002459561381232,0.0001479715505635,0.0002360634899922
1328,felipppppe,LAS,Challenger,536,2350,51.8,7.7,6.1,7.6,0.0036807033314869,0.000311971941404,0.0004997048132899,0.0003860494900562,0.0002657814075231,0.0005986177470054,0.0003738512032237,0.0003377251018013,0.0004335998251968,0.0001216856426163,0.0003517161593695
1329,courtesy,LAS,GrandMaster,610,3832,54.8,6.2,4.9,5.6,0.0036756044299572,0.0004767114730525,0.0005897386714673,0.0002865686994871,0.0002160321515245,0.0007513471180169,0.0004067777284893,0.0002566570108341,0.0002801548269186,0.0001485983214199,0.0002630184287464
1330,Oliver átom,LAN,GrandMaster,606,3871,65.3,6.9,4.8,9.2,0.0036754363913708,0.0004908846582094,0.0005831097630278,0.0002831719702582,0.0002163146314647,0.0007361204171039,0.0004249947078328,0.0002553425279064,0.000275163729069,0.0001497549185937,0.0002605790679045
